member_id,member,state_district,ticker,instrument,direction,opened_at,closed_or_marked_at,status,holding_days,holding_return_pct,spy_return_pct,excess_return_pct,return_90d_pct,excess_90d_pct,filing_id,source_url
josh-gottheimer,Josh Gottheimer,NJ05,W,Stock,Long,2018-01-08,2021-09-29,Closed,1360,226.1,69.4,156.7,-19.8,-15,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
alan-lowenthal,Alan S. Lowenthal,CA47,ADSK,Stock,Long,2021-03-10,2022-03-03,Closed,358,-20.3,13.3,-33.7,5.7,-3.1,20018413,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018413.pdf
josh-gottheimer,Josh Gottheimer,NJ05,UPS,Stock,Long,2018-01-10,2018-12-12,Closed,336,-19.5,-1.9,-17.6,-17.6,-14.7,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
josh-gottheimer,Josh Gottheimer,NJ05,UPS,Stock,Long,2019-01-11,2026-09-11,Residual · latest mark,2800,41,229.9,-188.8,16.9,5.2,20011063,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011063.pdf
josh-gottheimer,Josh Gottheimer,NJ05,EL,Stock,Long,2018-01-19,2023-10-30,Closed,2110,0.6,63.2,-62.7,13.2,17,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
greg-gianforte,Greg Gianforte,MT00,WCC,Stock,Long,2018-01-23,2018-11-19,Closed,300,-20,-3.8,-16.2,-3.4,2.1,20011157,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011157.pdf
greg-gianforte,Greg Gianforte,MT00,WCC,Stock,Long,2019-10-11,2026-09-11,Open · latest mark,2527,687.3,184.4,502.9,25.3,14.5,20012677,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012677.pdf
richard-allen,Richard W. Allen,GA12,WMT,Stock,Long,2018-01-25,2018-05-23,Closed,118,-21.2,-3.1,-18,-17.7,-11.2,20023082,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023082.pdf
richard-allen,Richard W. Allen,GA12,WMT,Stock,Long,2018-06-28,2026-09-11,Open · latest mark,2997,323,218.7,104.4,10.8,3.3,20023082,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023082.pdf
richard-allen,Richard W. Allen,GA12,CCL,Stock,Long,2018-01-29,2019-04-11,Closed,437,-24.1,3.6,-27.8,-10,-4,20023082,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023082.pdf
richard-allen,Richard W. Allen,GA12,PG,Stock,Long,2020-04-17,2026-04-16,Closed,2190,33.4,166.3,-132.9,0.7,-11.7,20023082,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023082.pdf
josh-gottheimer,Josh Gottheimer,NJ05,MSFT,Stock,Long,2018-02-06,2020-05-18,Closed,832,109.6,14.5,95.1,5.8,6.3,20012044,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20012044.pdf
josh-gottheimer,Josh Gottheimer,NJ05,MSFT,Stock,Long,2021-06-22,2026-09-11,Residual · latest mark,1907,94.9,93.3,1.6,11.1,8.1,20019076,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf
josh-gottheimer,Josh Gottheimer,NJ05,LLY,Stock,Long,2022-03-16,2026-09-11,Residual · latest mark,1640,319.2,86.5,232.8,5.5,19.5,20020786,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020786.pdf
gary-palmer,Gary Palmer,AL06,MHLD,Stock,Long,2018-02-12,2026-09-11,No price match,,,,,,,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
brenda-lawrence,Brenda Lulenar Lawrence,MI14,SNAP,Stock,Long,2018-02-20,2018-05-04,Closed,73,-43,-1.6,-41.4,-43.4,-44.6,20007477,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20007477.pdf
john-rutherford,John Rutherford,FL04,SNP,Stock,Long,2018-02-21,2020-03-17,No price match,,,,,,,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
josh-gottheimer,Josh Gottheimer,NJ05,SPGI,Stock,Long,2018-02-22,2021-03-11,Closed,1113,89.5,53.9,35.6,7.3,5.8,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
brenda-lawrence,Brenda Lulenar Lawrence,MI14,IBM,Stock,Long,2018-02-27,2026-09-11,Open · latest mark,3118,132.9,217.2,-84.3,-7.2,-6.8,20007477,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20007477.pdf
josh-gottheimer,Josh Gottheimer,NJ05,CENT,Stock,Long,2018-03-02,2019-12-10,Closed,648,-29.1,20.4,-49.5,1.6,0.5,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
josh-gottheimer,Josh Gottheimer,NJ05,CENT,Stock,Long,2020-01-10,2026-09-11,Residual · latest mark,2436,62.7,157.4,-94.7,0.3,14.3,20015007,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015007.pdf
gary-palmer,Gary Palmer,AL06,AMZN,Stock,Long,2018-03-13,2018-05-22,Closed,70,-0.4,-1.1,0.7,6.4,5.3,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
