member_id,member,state_district,ticker,instrument,direction,opened_at,closed_or_marked_at,status,holding_days,holding_return_pct,spy_return_pct,excess_return_pct,return_90d_pct,excess_90d_pct,filing_id,source_url
gary-palmer,Gary Palmer,AL06,ESRX,Stock,Long,2017-04-04,2018-10-05,Closed,549,45.7,25.7,20.1,-3,-6.3,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,F,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,100.8,273.6,-172.8,3,-0.3,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,GME,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,376.5,273.6,102.9,-0.1,-3.4,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,GM,Stock,Long,2017-04-04,2018-10-05,Closed,549,5.7,25.7,-20,5,1.6,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,GILD,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,205.3,273.6,-68.3,6.4,3,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,GS,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,427.2,273.6,153.6,-0.5,-3.9,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,HPQ,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,165.3,273.6,-108.3,-0.2,-3.5,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,MPC,Stock,Long,2017-04-04,2018-10-05,Closed,549,74.8,25.7,49.1,6.3,2.9,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,MA,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,441.4,273.6,167.8,8,4.6,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
gary-palmer,Gary Palmer,AL06,MCK,Stock,Long,2017-04-04,2026-09-14,Open · latest mark,3450,571.7,273.6,298.1,13.1,9.7,20010260,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010260.pdf
